,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
19,Atit,,,Atit,412802.0,18.101212,73.889301,SubCentre,Maharashtra,Satara,Khandala,Khandala
20,Bhavadhan,1412,,Bavdhan,412803.0,17.915655,73.900523,SubCentre,Maharashtra,Satara,Wai,Wai
21,Pachawad,,,Pachawad,415508.0,17.4842,74.6588,SubCentre,Maharashtra,Satara,Man,Man
22,Kalgaon,,,Kalagaon,415112.0,17.168418,73.959627,Primary Health Centre,Maharashtra,Satara,Patan,Patan
23,Malharpeth,,,Malharpeth,415205.0,17.341986,74.007213,SubCentre,Maharashtra,Satara,Patan,Patan
24,Mandure,,,Mandure,415206.0,17.479766,73.883067,SubCentre,Maharashtra,Satara,Patan,Patan
25,Chorade,,,Chorade,415538.0,17.421239,74.379222,SubCentre,Maharashtra,Satara,Khatav,Khatav
26,Varye,sub center varye,,village-varye,415015.0,17.7331,73.9928,SubCentre,Maharashtra,Satara,Satara,Satara
27,Visapur,,,Visapur,415502.0,17.687768,74.301991,SubCentre,Maharashtra,Satara,Khatav,Khatav
28,Hingani,,,Hingani,415509.0,17.65,74.8532,SubCentre,Maharashtra,Satara,Man,Man
29,Kalambi,,,Kalambi,415512.0,17.488272,74.29991,SubCentre,Maharashtra,Satara,Khatav,Khatav
30,Mardi,,,Mardi,415508.0,17.7404,74.698,SubCentre,Maharashtra,Satara,Man,Man
31,Mathachiwadi,64,,Mathachiwadi,415523.0,18.001865,74.574535,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
32,Bhuinj,1859,,Bhuinj,415115.0,17.879129,73.97077,Primary Health Centre,Maharashtra,Satara,Wai,Wai
33,Kapil,\N,,Kapil,415124.0,17.2446,74.2003,SubCentre,Maharashtra,Satara,Karad,Karad
34,Aasawalewadi,,,Aasawalewadi,415211.0,17.273523,73.962914,SubCentre,Maharashtra,Satara,Patan,Patan
35,Kameri,sub ceter kameri,,village-kameri,415019.0,17.5481,74.1484,SubCentre,Maharashtra,Satara,Satara,Satara
36,Chandak,56,,Chandak,415536.0,18.005445,73.959014,SubCentre,Maharashtra,Satara,Wai,Wai
